ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,January,February,March,April,May,June,July,August,September,October,November,December,Seasons Count,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly Org,Child friendly,Snowparks Org,Snowparks,Nightskiing Org,Nightskiing,Summer skiing Org,Summer skiing
100,Elfer Neustift,47.1064691,11.3079828,Austria,Europe,29,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,2080,981,0,7,0,7,5,0,3,0,1,4,2980,Yes,1,No,0,No,0,No,0
101,Serfaus-Fiss-Ladis,47.0530324,10.61913705,Austria,Europe,49,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2820,1200,47,123,28,198,10,1250,40,16,12,68,78460,Yes,1,Yes,1,Yes,1,No,0
102,Hochkonig-Maria Alm/Dienten/Muhlbach,47.38650655,12.95641323,Austria,Europe,52,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1900,800,52,41,19,112,9,520,21,9,5,35,49232,Yes,1,Yes,1,Yes,1,No,0
103,Mayrhofen-Penken/Ahorn/Rastkogel/Eggalm,47.1672188,11.8638664,Austria,Europe,52,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2500,630,40,66,30,136,10,286,31,17,9,57,82432,Yes,1,Yes,1,No,0,No,0
104,"Ski Arlberg (St. Anton, Lech, Zuers, St. Christoph)",47.18265425,10.14043361,Austria,Europe,53,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2811,1270,130,123,51,304,10,747,53,45,15,113,145127,Yes,1,Yes,1,No,0,No,0
105,Axamer Lizum,47.1943801,11.3030187,Austria,Europe,38,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2340,1580,7,21,2,30,3,0,3,6,1,10,13322,Yes,1,Yes,1,No,0,No,0
106,"Ski amedé (Flachau, Alpendorf)",47.3438501,13.3922888,Austria,Europe,52,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1980,740,30,81,4,115,0,600,22,16,11,49,75398,Yes,1,Yes,1,No,0,No,0
107,Ski Juwel Alpbachtal Wildschonau,47.395203,11.92651,Austria,Europe,46,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2025,830,25,53,13,91,7,294,32,7,8,47,52789,Yes,1,Yes,1,Yes,1,No,0
108,Ischgl,46.9862824,10.27451769,Austria,Europe,52,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,2872,1377,47,142,49,238,11,1200,13,25,7,45,88215,Yes,1,Yes,1,No,0,No,0
109,Bad Gastein,47.1144954,13.1352653,Austria,Europe,52,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2300,860,30,52,2,84,10,800,10,9,7,26,32699,Yes,1,Yes,1,No,0,No,0
110,Gargellen,46.9721035,9.9187223,Austria,Europe,47,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2300,1423,20,5,2,27,6,83,5,3,1,9,10650,Yes,1,Yes,1,No,0,No,0
112,Kitzbühel / Kirchberg (KitzSki),47.4463585,12.3911473,Austria,Europe,55,October - April,1,1,1,1,0,0,0,0,0,1,1,1,1,2000,800,101,61,17,179,8,1102,15,28,11,54,92510,Yes,1,Yes,1,Yes,1,No,0
113,Galtur,46.9194554,10.17059035,Austria,Europe,40,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2300,1600,6,25,12,43,4,133,9,2,2,13,15442,Yes,1,Yes,1,Yes,1,No,0
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),47.45518755,12.54442426,Austria,Europe,53,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2096,830,140,112,18,270,0,927,21,22,28,71,135104,Yes,1,Yes,1,Yes,1,No,0
115,Schladming (4-Berge-Skischauke),47.3940415,13.6867878,Austria,Europe,52,April,0,0,0,1,0,0,0,0,0,0,0,0,1,2015,745,46,68,8,122,4,600,16,20,10,46,71842,Yes,1,Yes,1,Yes,1,No,0
116,Ellmau (SkiWelt Wilder Kaiser-Brixental),47.51927245,12.29224775,Austria,Europe,49,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1957,620,122,129,33,284,7,1700,54,35,16,105,147250,Yes,1,Yes,1,Yes,1,No,0
117,Zauchensee,47.2933062,13.4568962,Austria,Europe,52,April,0,0,0,1,0,0,0,0,0,0,0,0,1,2188,1000,23,16,4,43,6,113,9,6,4,19,25988,Yes,1,Yes,1,No,0,No,0
118,"SkiWelt Wilder Kaiser-Brixental (Westendorf, Söll)",47.3831879,12.22174856,Austria,Europe,49,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1957,620,122,129,33,284,0,1700,54,35,16,105,147250,Yes,1,Yes,1,Yes,1,No,0
119,Silvretta Montafon,47.03503335,9.976778589,Austria,Europe,53,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2430,700,60,45,8,113,12,330,25,18,10,53,67472,Yes,1,Yes,1,No,0,No,0
122,St. Johann in Tirol,47.5224141,12.4286809,Austria,Europe,44,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1604,659,16,23,3,42,8,260,12,4,4,20,21100,Yes,1,No,0,Yes,1,No,0
124,Courmayeur / Checrouit - Val Veny,45.7874248,6.9730618,Italy,Europe,46,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,2755,1205,16,21,4,41,0,280,4,8,6,18,24497,Yes,1,Yes,1,No,0,No,0
125,Sierra Nevada-Pradollano,37.0957512,-3.387885004,Spain,Europe,47,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,3282,2100,50,49,7,106,0,350,5,14,2,21,59205,Yes,1,Yes,1,Yes,1,No,0
126,Cortina d'Ampezzo,46.5383332,12.1373506,Italy,Europe,52,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2924,1224,45,55,20,120,11,130,8,26,6,40,48089,Yes,1,Yes,1,No,0,No,0
127,Val Senales Glacier,46.7699617,10.7974224,Italy,Europe,44,October - May,1,1,1,1,1,0,0,0,0,1,1,1,1,3212,2011,8,7,11,26,8,0,6,6,2,14,15838,Yes,1,Yes,1,No,0,No,0
128,Saas-Fee,46.107342,7.9247055,Switzerland,Europe,63,July - April,1,1,1,1,0,0,1,1,1,1,1,1,1,3573,1800,20,60,20,100,14,102,14,2,9,25,25160,Yes,1,Yes,1,No,0,Yes,1
129,Champoluc (Monterosa Ski),45.8366951,7.731371649,Italy,Europe,43,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,3275,1212,23,94,15,132,0,655,9,9,12,30,31984,Yes,1,Yes,1,No,0,No,0
130,Kronplatz (Plan de Corones),46.7387791,11.9583111,Italy,Europe,54,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2275,973,52,42,25,119,7,450,6,5,21,32,71205,Yes,1,Yes,1,Yes,1,No,0
131,Formigal,42.7741349,-0.3608611,Spain,Europe,44,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2251,1501,47,70,20,137,6,440,9,11,0,20,29450,Yes,1,Yes,1,No,0,No,0
132,Baqueira / Beret,42.6988865,0.9347175,Spain,Europe,50,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2510,1471,79,52,19,150,5,629,14,19,2,35,53997,Yes,1,Yes,1,No,0,No,0
135,Wasserngrat (Gstaad),46.4643909,7.3169684,Switzerland,Europe,54,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,1900,1275,3,3,2,8,0,0,0,1,0,1,900,Yes,1,No,0,No,0,No,0
136,Wispile (Gstaad),46.4518335,7.296177853,Switzerland,Europe,54,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,1941,1046,3,3,1,7,0,0,3,0,2,5,3601,Yes,1,No,0,Yes,1,No,0
137,Crans-Montana,46.3304899,7.526435804,Switzerland,Europe,60,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1510,540,55,70,15,140,12,0,12,6,5,23,29500,Yes,1,Yes,1,No,0,No,0
138,Brunni - Engelberg,46.84087305,8.410638259,Switzerland,Europe,38,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2040,1050,2,3,2,7,0,0,3,1,1,5,2577,Yes,1,No,0,No,0,No,0
139,Arosa Lenzerheide,46.7548885,9.566024408,Switzerland,Europe,63,October - April,1,1,1,1,0,0,0,0,0,1,1,1,1,2865,1229,111,87,27,225,4,0,24,18,8,50,63936,Yes,1,Yes,1,Yes,1,No,0
140,"4 Vallees (Verbier, Nendaz, Thyon, Veysonnaz)",46.1003545,7.276506393,Switzerland,Europe,66,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,1,Yes,1,Yes,1,No,0
141,St. Moritz - Corviglia,46.5079945,9.818959,Switzerland,Europe,69,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3057,1720,42,79,34,155,6,170,11,12,5,28,31220,Yes,1,Yes,1,No,0,No,0
142,Gresse en Vercors,44.9011374,5.5662216,France,Europe,19,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,1751,1245,8,7,5,20,0,51,10,1,0,11,6808,Yes,1,Yes,1,No,0,No,0
144,Villars - Gryon / Les Diablerets,46.3289335,7.1096087,Switzerland,Europe,54,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2120,1224,51,45,4,100,0,0,20,9,4,33,38905,Yes,1,Yes,1,No,0,No,0
147,Buchenberg-Buching-Halblech-,47.606423,10.8106751,Germany,Europe,25,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,1140,810,2,4,0,6,0,0,2,1,0,3,2800,Yes,1,No,0,No,0,No,0
151,Les Sybelles-Le Corbier-La Toussuire-Les Bottieres-St Colomban des Villards-St Sorlin-St Jean d’Arves,45.25492475,6.248865708,France,Europe,44,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2620,1100,53,239,18,310,7,514,44,28,0,72,83807,Yes,1,Yes,1,Yes,1,No,0
152,Le Grand Massif-Flaine-Les Carroz-Morillon-Samoens-Sixt,46.0298218,6.695615648,France,Europe,47,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2476,694,135,95,35,265,14,1100,34,29,9,72,97624,Yes,1,Yes,1,No,0,No,0
153,Megeve-Saint-Gervais,45.845128,6.685666167,France,Europe,46,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2353,850,98,134,31,263,5,888,50,27,9,86,106362,Yes,1,Yes,1,Yes,1,No,0
154,Big Sky Resort,45.2839783,-111.401115,United States,North America,110,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3398,2072,55,69,126,250,9,0,11,22,1,34,36283,Yes,1,Yes,1,No,0,No,0
155,Snowmass,39.3316513,-106.986156,United States,North America,124,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3813,2473,14,111,111,236,8,0,6,13,2,21,27765,Yes,1,Yes,1,Yes,1,No,0
156,Soldeu-Pas de la Casa/Grau Roig/El Tarter/Canillo/Encamp (Grandvalira),42.5768944,1.6682694,Andorra,Europe,47,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2640,1710,100,77,33,210,0,1032,37,28,7,72,99017,Yes,1,Yes,1,Yes,1,No,0
157,Laax-Flims-Falera,46.849618,9.217180661,Switzerland,Europe,68,October - April,1,1,1,1,0,0,0,0,0,1,1,1,1,3018,1100,88,81,19,188,14,300,13,9,11,33,46116,Yes,1,Yes,1,No,0,No,0
158,Vars-Risoul-La Foret Blanche,47.5343201,5.5342065,France,Europe,39,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2750,1650,75,90,20,185,0,0,32,17,2,51,50145,Yes,1,Yes,1,Yes,1,No,0
159,Le Grand Domaine-Valmorel-Doucy-Celliers-St Francois Longchamp,48.618833,-2.2673293,France,Europe,44,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2550,1250,115,35,15,165,0,332,36,17,3,56,60248,Yes,1,Yes,1,No,0,No,0
160,Galibier Thabor-Valmeinier-Valloire,45.1604887,6.464502618,France,Europe,39,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2594,1430,75,60,15,150,0,400,12,17,2,31,43300,Yes,1,Yes,1,Yes,1,No,0
161,Zillertal Arena-Zell am Ziller-Gerlos-Konigsleiten-Hochkrimml,47.24372605,12.03918599,Austria,Europe,52,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2500,580,43,89,11,143,10,792,22,21,13,56,89415,Yes,1,Yes,1,No,0,No,0
162,La Molina-Masella-Alp2500,42.3427392,1.9562059,Spain,Europe,45,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2531,1616,76,47,18,141,0,1010,19,13,1,33,39750,Yes,1,Yes,1,Yes,1,No,0
163,Lake Louise,51.4249668,-116.177535,Canada,North America,66,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,2637,1646,35,62,42,139,8,0,4,5,1,10,14040,Yes,1,Yes,1,No,0,No,0
164,Auron-Saint-Etienne-de-Tinee-,44.2262702,6.9309839,France,Europe,34,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1600,1150,60,45,30,135,8,440,7,9,3,19,25030,Yes,1,Yes,1,No,0,No,0
165,Powder Mountain,48.8773577,-120.7676146,United States,North America,67,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2712,2101,30,50,55,135,0,0,3,6,0,9,13470,Yes,1,Yes,1,Yes,1,No,0
166,Keystone,41.9988889,-92.1979353,United States,North America,120,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3651,2835,25,65,45,135,5,0,7,11,4,22,30500,Yes,1,Yes,1,Yes,1,No,0
167,Alta Badia,46.56467025,11.91021932,Italy,Europe,52,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2550,1324,70,52,8,130,8,391,18,30,11,59,89327,Yes,1,Yes,1,No,0,No,0
168,Killington,43.67433,-72.7784445,United States,North America,90,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,1285,355,37,43,46,126,9,1500,5,15,3,23,41660,Yes,1,Yes,1,No,0,No,0
169,Copper Mountain,37.4781086,-90.3856733,United States,North America,89,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3767,2926,30,40,56,126,0,0,7,15,1,23,29084,Yes,1,Yes,1,No,0,No,0
170,La Clusaz-Manigod,45.883562,6.419691113,France,Europe,37,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2477,1040,62,40,23,125,0,223,28,14,7,49,59346,Yes,1,Yes,1,Yes,1,No,0
171,Espace Villard Correncon-Villard-de-Lans-Correncon-en-Vercors,45.044532,5.559564,France,Europe,36,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2050,1050,50,50,25,125,0,339,18,7,3,28,26600,Yes,1,Yes,1,No,0,No,0
172,Val Cenis-Lanslevillard-Lanslebourg-Termignon,45.2768658,6.8170409,France,Europe,36,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2800,1300,73,42,10,125,0,200,13,13,2,28,39824,Yes,1,Yes,1,Yes,1,No,0
173,Isola 2000,44.1869246,7.145441205,France,Europe,34,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2603,1800,75,35,10,120,8,430,12,7,3,22,21807,Yes,1,Yes,1,Yes,1,No,0
174,Obersaxen-Mundaun-Val Lumnezia,46.7487613,9.1022712,Switzerland,Europe,51,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2310,1201,60,40,20,120,15,297,10,9,0,19,20720,Yes,1,Yes,1,Yes,1,No,0
175,Les 7 Laux-Prapoutel-Le Pleynet-Pipay,45.2602174,6.033591377,France,Europe,36,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2400,1350,46,36,38,120,0,200,15,8,1,24,32232,Yes,1,Yes,1,No,0,No,0
176,Corvatsch-Furtschellas,46.4450516,9.819511761,Switzerland,Europe,69,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,3303,1797,13,89,17,119,9,0,5,6,3,14,18510,Yes,1,Yes,1,Yes,1,No,0
177,Sugarloaf,38.3481772,-76.0335483,United States,North America,81,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1286,426,28,40,51,119,5,0,2,12,0,14,20720,Yes,1,Yes,1,No,0,No,0
178,Silver Star,45.015082,-75.6437706,Canada,North America,62,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1915,1155,20,50,45,115,8,0,4,6,0,10,12000,Yes,1,Yes,1,Yes,1,No,0
179,Taos,36.4072377,-105.573284,United States,North America,84,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3795,2805,27,28,58,113,0,0,4,11,0,15,17000,Yes,1,Yes,1,No,0,No,0
180,Nassfeld-Hermagor,46.58465625,13.24612886,Austria,Europe,46,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2002,600,30,69,11,110,7,483,16,9,5,30,49386,Yes,1,Yes,1,Yes,1,No,0
181,Sunshine Village,51.08952535,-115.7622016,Canada,North America,66,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,2730,1660,25,50,34,109,8,2,2,9,1,12,20950,Yes,1,Yes,1,No,0,No,0
182,Mondole Ski-Artesina-Frabosa Soprana-Prato Nevoso,44.249446,7.775081,Italy,Europe,33,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,807,803,42,51,11,104,0,0,19,14,0,33,26068,Yes,1,Yes,1,Yes,1,No,0
183,Aletsch Arena-Riederalp-Bettmeralp-Fiesch Eggishorn,46.3895305,8.0609271,Switzerland,Europe,53,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1845,759,42,50,12,104,4,258,18,8,12,38,41109,Yes,1,Yes,1,Yes,1,No,0
184,Bad Kleinkirchheim-St. Oswald,46.8442215,13.7662406,Austria,Europe,47,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2055,1087,18,77,8,103,7,800,17,7,4,28,31186,Yes,1,Yes,1,Yes,1,No,0
185,Snowbird,40.5807546,-111.6572955,United States,North America,99,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,3353,2365,27,38,38,103,5,0,2,10,1,13,17900,Yes,1,Yes,1,Yes,1,No,0
186,Bardonecchia,45.078339,6.703205,Italy,Europe,36,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2694,1312,54,38,8,100,0,0,13,9,1,23,27588,Yes,1,Yes,1,No,0,No,0
187,Saint-Lary-Soulan,42.816936,0.3219538,France,Europe,42,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1600,812,60,30,10,100,3,290,17,11,3,31,38733,Yes,1,Yes,1,Yes,1,No,0
188,Orcieres Merlette 1850,44.6972064,6.3235516,France,Europe,34,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2725,1850,55,38,7,100,0,0,20,7,3,30,29605,Yes,1,Yes,1,No,0,No,0
189,Devoluy-Superdevoluy-La Joue du Loup,44.68440895,5.898484198,France,Europe,36,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2450,1450,60,30,10,100,0,180,18,5,1,24,27646,Yes,1,Yes,1,No,0,No,0
190,Grand Tourmalet-Pic du Midi-La Mongie-Bareges,42.9087613,0.1674113,France,Europe,42,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2500,1250,58,35,7,100,6,0,21,15,2,38,40231,Yes,1,Yes,1,No,0,No,0
191,Mt. Rose,40.369273,-74.7390499,United States,North America,93,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2957,2407,20,30,50,100,3,0,2,6,0,8,15000,Yes,1,Yes,1,No,0,No,0
192,Mt. Buller,-37.2694615,146.4008688,Australia,Oceania,87,May - October,0,0,0,0,1,1,1,1,1,1,0,0,1,1790,1390,25,45,30,100,2,216,13,13,1,27,33600,Yes,1,Yes,1,Yes,1,Yes,1
193,Mt. Baker,48.7767701,-121.814566,United States,North America,50,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,1525,1070,24,45,31,100,3,0,2,8,0,10,15500,Yes,1,Yes,1,No,0,No,0
194,Alpine Meadows,39.1785177,-120.2276948,United States,North America,102,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2632,2083,25,40,35,100,5,0,2,11,0,13,16200,Yes,1,Yes,1,No,0,No,0
195,Deer Valley,48.1815678,-117.3007731,United States,North America,109,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2917,2003,27,41,32,100,3,0,3,20,1,24,46600,Yes,1,No,0,No,0,No,0
196,Perisher,-36.3961667,148.408582,Australia,Oceania,0,June - October,0,0,0,0,0,1,1,1,1,1,0,0,1,1605,1125,22,60,18,100,3,271,34,14,1,49,46975,Yes,1,Yes,1,Yes,1,Yes,1
197,Wolf Creek,42.6955158,-123.3952995,United States,North America,56,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3628,3139,20,35,45,100,0,0,2,7,0,9,11200,Yes,1,No,0,No,0,No,0
198,Wenatchee-Mission Ridge,47.4234599,-120.310349,United States,North America,54,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2078,1392,10,60,30,100,3,0,2,4,0,6,4910,Yes,1,No,0,Yes,1,No,0
199,Mt. Bachelor,43.9792818,-121.688365,United States,North America,79,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,2763,1737,15,25,60,100,4,0,2,11,0,13,25900,Yes,1,Yes,1,No,0,No,0
200,Northstar California Resort,39.274701,-120.12192,United States,North America,120,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2624,1929,25,45,27,97,4,0,7,10,3,20,28002,Yes,1,Yes,1,No,0,No,0
201,Parsenn (Davos Klosters),46.842102,9.835342208,Switzerland,Europe,61,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2844,810,20,60,16,96,12,169,4,6,8,18,26795,Yes,1,Yes,1,No,0,No,0
202,Schweitzer Mountain Resort,48.368467,-116.623291,United States,North America,66,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1950,1206,20,40,35,95,4,0,2,7,0,9,14200,Yes,1,Yes,1,Yes,1,No,0
203,Heavenly,33.741419,-117.7555797,United States,North America,120,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3060,2001,18,42,34,94,8,265,8,18,2,28,42790,Yes,1,Yes,1,No,0,No,0
