ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,January,February,March,April,May,June,July,August,September,October,November,December,Seasons Count,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly Org,Child friendly,Snowparks Org,Snowparks,Nightskiing Org,Nightskiing,Summer skiing Org,Summer skiing
300,Oppdal,62.53517845,9.62330412,Norway,Europe,44,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,1300,585,40,7,9,56,0,0,1,0,0,1,0,Yes,1,No,0,No,0,No,0
301,Brevent-Flegere-Chamonix-,45.9479384,6.868594877,France,Europe,51,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2525,1030,11,25,20,56,6,0,6,8,5,19,26734,Yes,1,Yes,1,No,0,No,0
302,Bretton Woods,44.2576311,-71.4413006,United States,North America,76,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,945,487,25,16,15,56,0,0,3,7,0,10,15406,Yes,1,Yes,1,Yes,1,No,0
303,Les Houches-Saint-Gervais-Prarion-Bellevue-Chamonix-,45.891508,6.799138,France,Europe,43,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1000,584,25,25,5,55,4,133,5,8,3,16,19859,Yes,1,Yes,1,No,0,No,0
304,Yllas,67.5647092,24.2246252,Finland,Europe,42,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,718,200,21,28,6,55,3,36,27,1,1,29,28284,Yes,1,Yes,1,Yes,1,No,0
305,Belvedere-Col Rodella-Ciampac-Buffaure-Canazei-Campitello-Alba-Pozza di Fassa,45.6850704,11.7729604,Italy,Europe,48,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2428,1320,7,40,7,54,6,0,11,18,10,39,56216,Yes,1,Yes,1,Yes,1,No,0
306,Revelstoke Mountain Resort,50.9692628,-118.1092086,Canada,North America,64,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2225,512,16,18,21,55,15,0,2,2,7,11,9200,Yes,1,Yes,1,No,0,No,0
307,Lauchernalp-Lotschental,46.41274665,7.774925326,Switzerland,Europe,48,April,0,0,0,1,0,0,0,0,0,0,0,0,1,3111,1419,20,17,18,55,10,28,2,2,2,6,6800,Yes,1,Yes,1,No,0,No,0
308,Grossglockner Heiligenblut,47.0745464,12.6938826,Austria,Europe,44,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2989,1301,20,34,1,55,7,60,8,1,4,13,12500,Yes,1,No,0,No,0,No,0
309,Brandnertal-Brand-Burserberg,47.119176,9.7578764,Austria,Europe,46,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2000,904,22,30,3,55,5,82,6,6,3,15,18963,Yes,1,Yes,1,Yes,1,No,0
310,Alpe du Grand-Serre-La Morte,45.0274177,5.8581966,France,Europe,27,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,2184,1367,36,17,2,55,0,0,12,3,0,15,13486,Yes,1,Yes,1,No,0,No,0
311,Les Angles,43.0835762,0.0062129,France,Europe,38,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2376,1600,22,23,10,55,0,363,15,4,1,20,21787,Yes,1,Yes,1,Yes,1,No,0
312,Kopaonik,43.2689885,20.826741,Serbia,Europe,30,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2017,1057,30,19,6,55,0,315,14,13,0,27,35052,Yes,1,Yes,1,Yes,1,No,0
313,Aussois,45.2275415,6.7413988,France,Europe,29,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2750,1500,30,22,3,55,0,130,4,4,0,8,9228,Yes,1,Yes,1,No,0,No,0
314,Apache,35.214632,-109.4786676,United States,North America,48,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,3475,2926,12,18,25,55,0,0,2,8,1,11,15800,Yes,1,No,0,No,0,No,0
315,Erciyes-Kayseri,38.5327397,35.4502248,Turkey,Asia,17,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,3360,2100,18,29,7,54,0,82,4,11,2,17,23800,Yes,1,No,0,No,0,No,0
316,Hunter Mountain,42.1778662,-74.2304216,United States,North America,68,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,975,487,18,18,19,55,0,0,4,9,0,13,15910,Yes,1,No,0,No,0,No,0
317,First-Grindelwald,46.6504815,8.065073279,Switzerland,Europe,55,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,2501,1050,30,15,8,53,6,38,3,3,3,9,12720,Yes,1,Yes,1,No,0,No,0
318,Sorenberg-Rothorn-Dorf,46.8221657,8.0349311,Switzerland,Europe,44,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2350,1110,30,15,8,53,0,0,12,3,2,17,20930,Yes,1,Yes,1,Yes,1,No,0
319,Riserva Bianca-Limone Piemonte,44.1853305,7.581660887,Italy,Europe,34,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2060,1046,11,35,5,51,0,0,5,11,1,17,20655,Yes,1,No,0,No,0,No,0
320,Eldora Mountain,37.3862661,-122.0726046,United States,North America,80,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3292,2804,11,26,15,52,0,0,3,8,0,11,13020,Yes,1,Yes,1,Yes,1,No,0
321,Donner Ski Ranch,39.3188801,-120.331067,United States,North America,59,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2371,2142,13,26,13,52,2,0,0,6,0,6,6500,Yes,1,No,0,No,0,No,0
322,Las Lenas,-35.1455071,-70.0820619,Argentina,South America,44,June - September,0,0,0,0,0,1,1,1,1,0,0,0,1,3430,2200,5,12,35,52,0,0,7,7,0,14,13340,Yes,1,Yes,1,Yes,1,Yes,1
323,Happo-One-Hakuba,36.7035607,137.8226173,Japan,Asia,40,December - May,1,1,1,1,1,0,0,0,0,0,0,1,1,1831,760,16,26,10,52,0,0,0,21,1,22,29100,Yes,1,Yes,1,Yes,1,No,0
324,Gitschberg Jochtal,46.82666885,11.6645207,Italy,Europe,46,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1354,772,17,25,9,51,6,90,14,4,6,24,23617,Yes,1,Yes,1,No,0,No,0
325,Schilthorn-Murren-Lauterbrunnen,46.55744425,7.892432481,Switzerland,Europe,55,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2970,796,19,23,9,51,15,38,3,7,6,16,13852,Yes,1,Yes,1,No,0,No,0
326,Dachstein West,47.5149184,13.4498696,Austria,Europe,42,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1620,780,15,33,3,51,4,163,25,8,3,36,32938,Yes,1,Yes,1,Yes,1,No,0
327,Cypress Mountain,49.3976802,-123.2011443,Canada,North America,44,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1440,824,6,22,22,50,4,42,1,6,0,7,10300,Yes,1,Yes,1,Yes,1,No,0
328,Pila,45.7699441,8.0810802,Italy,Europe,42,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1540,570,8,35,6,49,0,480,5,8,4,17,22154,Yes,1,Yes,1,No,0,No,0
329,Brigels-Waltensburg-Andiast,46.7700497,9.067384,Switzerland,Europe,49,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,2418,1110,13,33,3,49,7,100,9,4,0,13,10030,Yes,1,Yes,1,Yes,1,No,0
330,Aprica,46.152697,10.151656,Italy,Europe,38,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,2270,1162,28,14,7,49,0,0,10,4,2,16,13965,Yes,1,Yes,1,No,0,No,0
331,Bormio-Cima Bianca,46.4397574,10.3924531,Italy,Europe,40,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3012,1225,14,34,2,50,8,240,8,5,2,15,17630,Yes,1,Yes,1,Yes,1,No,0
332,Sedrun-Oberalp,46.6652022,8.704905479,Switzerland,Europe,53,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2300,1500,10,35,5,50,3,0,7,5,0,12,12100,Yes,1,Yes,1,No,0,No,0
333,Grosseck-Speiereck-Mauterndorf-St. Michael,47.1217604,13.64406919,Austria,Europe,41,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2400,1095,26,17,7,50,8,150,6,4,2,12,14286,Yes,1,No,0,Yes,1,No,0
334,Hirmentaz-Les Haberes-Bellevaux-Habere-Poche,46.2511455,6.517806672,France,Europe,24,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,1610,923,30,17,3,50,0,0,27,6,0,33,29480,Yes,1,Yes,1,No,0,No,0
335,Pragelato,45.0162171,6.9424531,Italy,Europe,0,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2700,1335,14,32,4,50,0,0,4,1,0,5,3660,Yes,1,No,0,No,0,No,0
336,Porte Puymorens,42.5488878,1.833462,France,Europe,30,September - April,1,1,1,1,0,0,0,0,1,1,1,1,1,2471,1600,21,20,9,50,0,70,5,4,0,9,7380,Yes,1,Yes,1,No,0,No,0
337,Mythenregion,47.0217081,8.723539208,Switzerland,Europe,39,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,1070,573,18,31,1,50,0,55,11,0,4,15,12592,Yes,1,Yes,1,No,0,No,0
338,Candanchu,42.78888865,-0.52873445,Spain,Europe,41,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2236,1514,15,18,15,48,0,0,19,6,0,25,19650,Yes,1,No,0,No,0,No,0
339,Zugspitze,47.421215,10.986297,Germany,Europe,45,May,0,0,0,0,1,0,0,0,0,0,0,0,1,2000,700,7,13,0,20,2,0,4,2,4,10,13150,Yes,1,No,0,No,0,No,0
340,Zao Onsen,38.1679266,140.4003442,Japan,Asia,39,December - May,1,1,1,1,1,0,0,0,0,0,0,1,1,1661,780,20,20,10,50,0,0,0,38,4,42,50000,Yes,1,Yes,1,No,0,No,0
341,Lindvallen-Hogfjallet-Salen-,61.159705,13.193609,Sweden,Europe,41,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,887,579,22,17,3,42,5,0,49,4,0,53,50505,Yes,1,Yes,1,Yes,1,No,0
342,Jasna Nizke Tatry-Chopok,48.966941,19.58101661,Slovakia,Europe,39,December - May,1,1,1,1,1,0,0,0,0,0,0,1,1,2004,943,19,17,7,43,6,527,19,8,5,32,35225,Yes,1,Yes,1,Yes,1,No,0
343,Mitsumata-Kagura-Tashiro-Mt. Naeba-,36.3937327,139.0890263,Japan,Asia,44,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,1845,620,7,8,8,23,0,0,0,19,4,23,31400,Yes,1,Yes,1,No,0,No,0
344,Tandadalen-Hundfjallet-Salen-,61.1792462,12.9919443,Sweden,Europe,41,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,872,572,18,15,12,45,3,0,42,4,0,46,42636,Yes,1,Yes,1,Yes,1,No,0
345,Appi Kogen,40.0123954,140.9976755,Japan,Asia,43,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,1328,500,13,18,13,44,0,0,2,14,2,18,23800,Yes,1,No,0,No,0,No,0
346,Gazprom Mountain Resort-Laura-– Esto-Sadok-Sotschi-,43.684855,40.281935,Russia,Europe,32,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,949,547,7,10,2,19,3,0,6,6,6,18,27874,Yes,1,No,0,Yes,1,No,0
347,Rusutsu,42.7374243,140.8754821,Japan,Asia,45,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,994,400,12,16,12,40,0,0,3,14,4,21,31128,Yes,1,Yes,1,Yes,1,No,0
348,Steinplatte-Winklmoosalm-Waidring-Reit im Winkl,48.7329198,15.5705666,Austria,Europe,46,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1860,740,18,22,2,42,12,107,3,9,2,14,31940,Yes,1,Yes,1,No,0,No,0
349,Uludag-Bursa,40.0705295,29.2220098,Turkey,Asia,0,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,1767,395,10,15,3,28,0,0,8,6,2,16,19637,Yes,1,Yes,1,No,0,No,0
350,Rigi,47.0567184,8.4853157,Switzerland,Europe,44,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,1315,439,4,4,0,8,0,0,4,0,3,7,6500,Yes,1,No,0,No,0,No,0
351,Metabief,46.7734907,6.3505765,France,Europe,26,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,1420,1000,19,18,2,39,0,0,20,8,0,28,24745,Yes,1,No,0,No,0,No,0
352,Vitosha-Sofia,42.6167377,23.27422928,Bulgaria,Europe,18,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2290,726,12,6,2,20,5,0,8,5,2,15,12450,Yes,1,No,0,Yes,1,No,0
353,Latemar-Obereggen-Pampeago-Predazzo,46.3563067,11.53719305,Italy,Europe,47,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1540,1050,9,32,7,48,3,200,6,13,3,22,36540,Yes,1,Yes,1,Yes,1,No,0
354,Szczyrk-Skrzyczne,49.7071204,19.0117088,Poland,Europe,20,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1257,524,22,7,4,33,0,0,11,4,1,16,22500,Yes,1,No,0,No,0,No,0
355,Mariborsko Pohorje-Maribor,46.5153389,15.5782311,Slovenia,Europe,31,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,1327,325,23,13,5,41,0,92,16,5,1,22,23436,Yes,1,No,0,Yes,1,No,0
356,El Colorado-Farellones,-33.3398691,-70.2915752,Chile,South America,64,June - October,0,0,0,0,0,1,1,1,1,1,0,0,1,3333,2380,25,10,15,50,5,0,21,4,0,25,21500,Yes,1,Yes,1,No,0,Yes,1
357,Praz de Lys-Sommand-Taninges-Mieussy-,46.15746735,6.569485327,France,Europe,29,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1966,1240,22,16,6,44,0,60,18,6,0,24,26205,Yes,1,Yes,1,No,0,No,0
358,Jahorina,43.7233441,18.59622766,Bosnia and Herzegovina,Europe,20,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,1889,920,3,19,3,25,0,0,5,5,1,11,16230,Yes,1,No,0,Yes,1,No,0
359,Espace Dole-La Dole-Les Tuffes,47.0944134,5.492668685,France,Europe,27,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,1678,1137,17,8,2,27,0,0,18,3,0,21,19380,Yes,1,Yes,1,No,0,No,0
360,Myoko Akakura,36.89304245,138.1795517,Japan,Asia,39,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,1491,687,9,8,2,19,0,0,2,20,1,23,37400,Yes,1,Yes,1,Yes,1,No,0
361,Naeba-Mt. Naeba-,36.8459419,138.690323,Japan,Asia,44,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1789,900,6,8,6,20,4,0,0,12,3,15,25400,Yes,1,Yes,1,Yes,1,No,0
362,Nozawa Onsen,36.91722415,138.4640226,Japan,Asia,37,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1650,565,22,13,9,44,0,0,1,15,3,19,29772,Yes,1,Yes,1,Yes,1,No,0
363,Kreischberg,47.0634486,14.03933,Austria,Europe,44,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2118,868,17,16,9,42,7,110,7,4,3,14,18808,Yes,1,Yes,1,No,0,No,0
364,Garmisch-Classic-Garmisch-Partenkirchen,47.4596073,11.07616628,Germany,Europe,43,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2050,732,12,18,10,40,8,0,11,4,4,19,21090,Yes,1,Yes,1,No,0,No,0
365,Carezza Ski,46.42089735,11.58845807,Italy,Europe,41,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2337,1200,21,14,3,38,7,175,13,5,2,20,19200,Yes,1,Yes,1,No,0,No,0
366,Pizol-Bad Ragaz-Wangs,46.979739,9.436717,Switzerland,Europe,51,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,510,490,14,21,8,43,9,62,5,4,2,11,12786,Yes,1,Yes,1,Yes,1,No,0
367,SuperBesse-Puy de Sancy,45.506646,2.8594,France,Europe,32,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1850,1300,30,9,4,43,0,299,16,5,1,22,21245,Yes,1,Yes,1,Yes,1,No,0
368,Stoten,61.2660478,12.8904555,Sweden,Europe,41,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,830,443,26,3,3,32,0,0,17,2,0,19,19250,Yes,1,No,0,No,0,No,0
369,Palandoken-Ejder 3200 World Ski Center-,39.5430157,42.9152472,Turkey,Asia,0,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3176,2200,19,11,13,43,0,0,3,11,2,16,15390,Yes,1,Yes,1,Yes,1,No,0
370,Fellhorn-Kanzelwand-Oberstdorf-Riezlern,47.6099906,12.5088699,Austria,Europe,45,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1967,920,13,19,2,34,4,110,7,6,4,17,22076,Yes,1,Yes,1,Yes,1,No,0
371,Idre Fjall,61.8896064,12.8330743,Sweden,Europe,40,October - April,1,1,1,1,0,0,0,0,0,1,1,1,1,890,588,17,22,2,41,3,0,21,4,0,25,24760,Yes,1,Yes,1,Yes,1,No,0
372,Großglockner Resort Kals-Matrei,47.009935,12.6232,Austria,Europe,47,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2422,933,8,22,6,36,7,0,9,5,3,17,18276,Yes,1,Yes,1,No,0,No,0
373,Pamporovo,41.64619295,24.67356329,Bulgaria,Europe,28,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1926,1620,17,6,5,28,0,130,6,7,0,13,14266,Yes,1,Yes,1,Yes,1,No,0
374,Abetone-Val di Luce,44.1314375,10.6306384,Italy,Europe,30,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1892,1240,14,28,1,43,0,110,6,10,1,17,24056,Yes,1,Yes,1,No,0,No,0
375,Gerlitzen,46.69476,13.9143318,Austria,Europe,45,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1000,520,10,27,3,40,7,120,10,7,1,18,22220,Yes,1,Yes,1,No,0,No,0
376,Paganella-Andalo,46.1572963,11.00551108,Italy,Europe,40,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2125,1030,9,22,1,32,6,0,4,12,2,18,23996,Yes,1,Yes,1,Yes,1,No,0
377,Melchsee-Frutt-Kerns-,46.77452445,8.271634234,Switzerland,Europe,44,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2255,1080,20,6,10,36,0,110,5,4,2,11,14150,Yes,1,Yes,1,Yes,1,No,0
378,Vall de Nuria,42.3944498,2.1549868,Spain,Europe,30,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,1964,912,4,2,1,7,0,0,3,1,2,6,4840,Yes,1,No,0,No,0,No,0
379,Areches-Beaufort-,45.66298915,6.566319098,France,Europe,29,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2300,1050,15,20,15,50,0,45,9,5,0,14,14462,Yes,1,Yes,1,No,0,No,0
380,Spindleruv Mlyn,50.7256448,15.6067567,Czech Republic,Europe,34,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1235,702,8,13,2,23,0,0,17,6,0,23,21638,Yes,1,Yes,1,Yes,1,No,0
381,Les Mosses-La Lecherette,46.3960939,7.1018391,Switzerland,Europe,31,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1870,1445,10,30,0,40,0,0,14,0,0,14,10540,Yes,1,No,0,No,0,No,0
382,Dizin,36.0508147,51.4155456,Iran,Asia,31,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,3506,2530,5,9,4,18,4,0,9,4,5,18,18760,Yes,1,Yes,1,No,0,No,0
383,Gala Yuzawa-Ishiuchi Maruyama,36.9502508,138.7995543,Japan,Asia,35,December - May,1,1,1,1,1,0,0,0,0,0,0,1,1,1181,256,10,9,6,25,6,0,1,24,2,27,39400,Yes,1,Yes,1,Yes,1,No,0
384,YongPyong Resort,37.645906,128.681814,South Korea,Asia,57,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1438,700,2,11,10,23,0,0,1,14,1,16,27400,Yes,1,No,0,Yes,1,No,0
385,Cimone-Montecreto-Sestola-Le Polle,45.97985,11.0630167,Italy,Europe,35,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1976,900,15,25,10,50,0,0,6,13,1,20,23746,Yes,1,Yes,1,No,0,No,0
386,Luchon Superbagneres,42.768303,0.5780217,France,Europe,34,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1440,635,16,10,6,32,0,180,7,5,1,13,15965,Yes,1,Yes,1,No,0,No,0
387,High1 Resort,37.207294,128.824816,South Korea,Asia,0,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1367,690,4,7,9,20,0,0,1,6,4,11,26685,Yes,1,No,0,No,0,No,0
388,La Parva,-33.3355943,-70.2899972,Chile,South America,60,June - October,0,0,0,0,0,1,1,1,1,1,0,0,1,3574,2653,12,20,6,38,6,0,9,4,0,13,13740,Yes,1,Yes,1,No,0,Yes,1
389,Lelex-Crozet,46.3026091,5.9407475,France,Europe,28,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,900,640,16,7,4,27,0,120,15,2,2,19,16750,Yes,1,Yes,1,No,0,No,0
390,Alpika Service,43.667196,40.246821,Russia,Europe,0,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2228,535,10,10,5,25,0,0,1,1,7,9,18120,Yes,1,No,0,No,0,No,0
391,Sinaia,45.3456607,25.5479283,Romania,Europe,32,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,0,880,834,3,11,4,18,0,0,2,3,4,9,9864,Yes,1,No,0,No,0,No,0
392,Furano,43.3419744,142.383188,Japan,Asia,42,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,1202,245,15,13,2,30,0,0,2,8,2,12,12650,Yes,1,Yes,1,Yes,1,No,0
393,Gourette-Eaux Bonnes-,42.9438107,-0.3291295,France,Europe,38,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2450,1350,18,13,4,35,0,158,4,5,3,12,19660,Yes,1,Yes,1,No,0,No,0
394,Whiteface-Lake Placid,44.36586225,-73.83531534,United States,North America,79,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,1340,371,7,15,13,35,3,250,1,9,1,11,14200,Yes,1,Yes,1,No,0,No,0
395,Rauriser Hochalmbahnen-Rauris,47.223392,12.990109,Austria,Europe,43,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2175,940,15,12,5,32,10,35,6,1,3,10,11927,Yes,1,Yes,1,No,0,No,0
396,Hoch-Ybrig-Unteriberg-Oberiberg,47.01175015,8.787310015,Switzerland,Europe,46,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1850,1035,15,30,5,50,5,0,8,5,1,14,16650,Yes,1,Yes,1,No,0,No,0
397,Meran 2000,46.6655583,11.3071256,Italy,Europe,39,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,1609,648,12,25,3,40,5,0,3,5,2,10,9478,Yes,1,Yes,1,No,0,No,0
398,Natschen-Andermatt,46.65201925,8.622667027,Switzerland,Europe,44,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,2344,1444,8,5,8,21,0,0,1,4,2,7,13600,Yes,1,No,0,No,0,No,0
